id;name;acronym;state
16485,8062;Faculdade Presidente Antõnio Carlos de Perdões;FUNEES Perdões;MG
16489,68066;Faculdade Presidente Antônio Carlos de Ribeirão das Neves;FUNEES R. das Neves;MG
16493,55512;Faculdade Presidente Antônio Carlos de São João Del Rei;FUNEES SJDR;MG
16497,42958;Instituto Superior de Ciências Agrárias;ISAP;MG
16501,30404;Faculdade Presidente Antônio Carlos de Arcos;FUNEES Arcos;MG
16505,17849;Faculdade Presidente Antônio Carlos de Elói Mendes;FUNEES;MG
16509,05295;Faculdade Presidente Antônio Carlos de Lagoa Santa;FUNEES;MG
16512,92741;Faculdade Presidente Antônio Carlos de Divino;FUNEES;MG
16516,80187;Faculdade Presidente Antônio Carlos de Senhora dos Remédios;FUNEES;MG
16520,67633;Faculdade Presidente Antônio Carlos de Central de Minas;FUNEES;MG
16524,55079;Faculdade Presidente Antônio Carlos de Felixlândia;FUNEES;MG
16528,42525;Faculdade Presidente Antônio Carlos de Uruana de Minas;FUNEES;MG
16532,29971;FACULDADE DE CIÊNCIAS GERENCIAIS;FACIG;MG
16536,17416;Faculdade Presidente Antônio Carlos de Timóteo;FECT;MG
16540,04862;Faculdade Presidente Antônio Carlos de Itabirito;;MG
16543,92308;Faculdade Presidente Antônio Carlos de Uberaba;;MG
16547,79754;Faculdade Presidente Antônio Carlos de Tupaciguara;;MG
16551,672;Faculdade Presidente Antônio Carlos de Uberlândia;;MG
16555,54646;Faculdade Presidente Antônio Carlos de Congonhas;;MG
16559,42092;INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE CAMBUÍ;ISEPEC;MG
16563,29538;Faculdade Presidente Antônio Carlos de Itajubá;;MG
16567,16983;NOVA FACULDADE;NF;MG
16571,04429;FACULDADE EFICAZ;FACULDADE EFICAZ;PR
16574,91875;FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES;FAMO;SP
16578,79321;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA;IFB;DF
16582,66767;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;BA
16586,54213;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ;IFPR;PR
16590,41659;FACULDADE DE TECNOLOGIA FRANCISCO MORATO;FFRAMO;SP
16594,29105;FACULDADE TEOLÓGICA EVANGÉLICA DO RIO DE JANEIRO;FATERJ;RJ
16598,1655;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA;PR
16602,03996;Universidade Estadual do Norte do Paraná;UENP;PR
16605,91442;UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;UNIARP;SC
16609,78888;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;UFOPA;PA
16613,66334;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;SC
16617,5378;Faculdade Presidente Antônio Carlos de Ubá;;MG
16621,41226;FACULDADE DOM HEITOR SALES;-;RN
16625,28672;Faculdade Presidente Antônio Carlos de Ipatinga;;MG
16629,16117;Faculdade de Direito de Ipatinga;FADIPA;MG
16633,03563;Faculdade Presidente Antônio Carlos de Bom Despacho;;MG
16636,91009;Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete;;MG
16640,78455;Faculdade Presidente Antônio Carlos de Visconde do Rio Branco;;MG
16644,65901;Faculdade Presidente Antônio Carlos de Leopoldina;;MG
16648,53347;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;UNILAB;CE
16652,40793;Instituto Federal de Educação, Ciência e Tecnologia do Acre;IFAC;AC
16656,28239;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL;IFMS;MS
16660,15685;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;IFAP;AP
16664,0313;Faculdade de Tecnologia de Mogi das Cruzes;FATEC-MC;SP
16667,90576;Faculdade de Tecnologia de São José dos Campos - Jessen Vidal;FATECSJCAMPOS;SP
16671,78022;Faculdade de Tecnologia Santo André;FATEC-SA;SP
16675,65468;Faculdade de Tecnologia de Itaquaquecetuba;Fatec Itaqua;SP
16679,52914;FACULDADE DE CIÊNCIAS EXATAS DE GARANHUNS;FACEG;PE
16683,4036;FATEC Cruzeiro Prof. Waldomiro May;;SP
16687,27806;Faculdade de Tecnologia de Piracicaba;Fatec Piracicaba;SP
16691,15252;Faculdade de Tecnologia de Pindamonhangaba;FATEC PI;SP
16695,02697;FACULDADE DE TECONOLOGIA DA ZONA SUL;FATEC ZONASUL;SP
16698,90143;Faculdade de Tecnologia de Bauru;FATEC;SP
16702,77589;Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende;Fatec - Itapetininga;SP
16706,65035;Faculdade de Tecnologia Dom Amaury Castanho;Fatec Itu;SP
16710,52481;Faculdade de Tecnologia de Sertãozinho;FATEC SERTÃOZINHO;SP
16714,39927;Faculdade de Tecnologia de Araçatuba;FATEC Araçatuba;SP
